Position,min,max
310,247.08659716,901.93189692
300,260.82448333,951.68444598
290,257.76317344999995,950.43791768
280,259.46563557,951.6919797099999
270,264.24122258,910.4997848400001
260,263.96934036,950.4477424700001
250,249.07902858000003,944.52220272
240,265.57797536,936.60113655
230,262.92148611000005,900.17631345
220,264.15006107,900.96963784
210,266.79860548,905.37191088
200,266.69942797,850.1973776
190,299.70045072,815.54037491
180,314.25351292999994,808.31929127
170,299.88541961,773.38131789
160,296.32447265,800.0864502000001
150,319.98609954999995,818.9198349999999
140,317.46234499,782.11141691
130,317.51609551999996,754.57157568
120,369.40869534999996,751.15536214
110,349.61225906,706.4060314799999
100,362.37986914,701.4330505600001
90,370.55606471,701.0131419300001
80,370.71266562000005,717.5543867199998
70,372.18656222000004,684.58499135
60,373.76443246,662.9387006900001
50,423.23029844,644.9617188000001
40,423.24716372999995,600.0976110900001
30,426.59169915000007,580.0042036
20,425.70563219,562.5319383400001
10,476.94149669,528.1687328
