Position,min,max
310,314.5558184,900.7590542
300,348.9713047,953.5241577
290,348.7116872,953.7824714
280,349.5327281,952.6422195
270,369.6302895,954.0952405
260,369.2701985,952.4987268
250,399.1518975,950.7109816
240,419.6974742,951.0893748
230,369.1758087,956.6378171
220,421.2751544,952.7988586
210,421.6006291,953.7429385
200,424.2358173,950.0639834
190,475.7173962,951.2912685
180,420.2109295,950.9502877
170,419.0982081,951.2797822
160,416.8890432,952.4619776
150,472.6265638,952.7079422
140,479.6843705,951.4742192
130,480.9696444,894.0685643
120,531.8156402,952.9620475
110,579.4921924,950.5044638
100,477.9245687,901.5247785
90,633.9698132,945.4072842
80,526.9136922,859.5749078
70,585.3562799,894.7597246
60,587.4368665,895.1915584
50,588.3875451,837.0674468
40,636.9812194,821.1801972
30,637.7973451,793.0136205
20,635.339126,743.3233063
10,641.4015085,748.6746277
