Position,min,max
310,206.81061382000001,752.97101638
300,211.59263778,750.3801908
290,248.06555487,702.6196054500001
280,248.84459612,701.0864769
270,247.15620138,735.2146208300001
260,246.87761082,750.8065220200001
250,249.80362535999998,708.32416502
240,246.66378479000002,742.03297985
230,243.27630935,701.5850440300001
220,239.00674902,650.7838389000001
210,245.74949924999999,637.54554636
200,248.58896898,593.38962192
190,249.51737806999995,600.51178756
180,248.66313771,550.5003127699999
170,249.54496784999998,522.38451786
160,245.30521766000004,500.72157399
150,248.44075747999997,451.5589966
140,259.07510286999997,472.54038309
130,249.06909861,452.76022881999995
120,253.74467888,449.37240553999993
110,258.94247981999996,381.9914122
100,256.81152285999997,403.42911012
90,261.74488059,390.92594393999997
80,263.29003751,354.03325215
70,263.52254624,353.08815284
60,290.67408493,350.9150617700001
50,297.66660872,344.93539953
40,265.61020143999997,350.57308118
30,299.6611206200001,325.85176631999997
20,299.16258916999993,320.54526999999996
10,299.05476348,304.20742086999996
