Position,min,max
310,263.99138859,909.85947827
300,264.8798262,916.215463
290,310.71335866,920.6350403
280,265.57949202000003,932.72758214
270,264.74394502999996,950.73598157
260,257.41022927,908.52603272
250,299.86315183,926.3774950300001
240,261.93442681,884.44929817
230,263.34018791,887.04728666
220,263.59213403999996,875.7751473
210,296.50934729,882.26021814
200,318.96555102,864.16315682
190,312.72899735,858.4761620899999
180,296.67886762,850.5138580500001
170,307.19080381000003,820.08834395
160,295.03219697,820.6696474299999
150,313.46603045,822.2615764
140,349.40884924,766.29269019
130,347.65085266,750.05480932
120,368.1596173000001,734.4502864000001
110,349.08549934,703.76602152
100,423.45269615,690.29265182
90,363.31294503000004,682.2764021999999
80,410.61303884000006,677.5978943099999
70,395.54717162,651.2078220799999
60,424.59001682999997,600.64403348
50,420.25799018,619.1756314899999
40,425.03419433999994,600.1988691199999
30,478.70735876,584.1094343
20,476.7418266,565.5069455600001
10,478.13095793,528.45932817
