Position,min,max
310,317.61904513,963.6832384500001
300,319.83021759,952.7311192899999
290,316.42449677,953.38036455
280,348.03106829,959.03829293
270,320.83814536,951.1523860100001
260,365.59764562000004,955.3098805900001
250,394.76155335,955.4914436500001
240,370.21255876,951.1907144699999
230,370.13009297,952.46431482
220,349.26655955999996,952.7765053400001
210,421.11211052,953.95227654
200,417.76954218000003,951.27692688
190,371.37422984999995,967.9884049799999
180,423.62354930999993,955.88380822
170,422.85289154000003,951.00267728
160,417.09817894,922.5687841400002
150,425.02163647,950.59005648
140,423.92166702000003,954.38130424
130,474.87393431000004,950.5062356799999
120,425.78913246,951.9294180500001
110,527.6457800600001,934.2496811
100,478.31057827999996,899.14719458
90,477.39801311,930.2117449699999
80,531.5054666200001,950.9752749799999
70,691.0082758499999,931.00702611
60,583.9620150499999,883.56012616
50,641.6475575299999,835.49443821
40,584.60198079,789.5447646
30,690.8774863900001,770.02927341
20,678.6438560299999,755.7261039699999
10,690.7160432600001,744.59203126
