Position,min,max
310,210.70869344,793.8327034
300,243.88061496,805.45585034
290,249.08312244,751.9108309
280,245.95866208,802.3311024100001
270,248.99581856,797.5583792
260,243.20578654000002,796.7675586
250,242.68705768999996,768.53103615
240,249.38664402999999,754.9613620700001
230,248.4811942,719.14561662
220,249.86611604,700.37845113
210,249.63721269,651.72869232
200,246.96569560999998,651.8498345200001
190,247.16759710000005,642.0877055
180,246.40152513999996,602.81514483
170,249.56600673000003,558.69770322
160,249.93936463,550.46304865
150,254.15925316000002,455.7308552100001
140,247.8197935,451.11101911
130,245.25119876000002,445.30854644
120,259.47758791999996,400.89459617
110,260.6515257,353.41048568
100,258.88347168999996,388.14256260999997
90,262.60444909999995,354.28096543
80,267.06676524,351.2892256900001
70,265.76023272,354.37441124
60,266.49156838000005,355.70209509
50,265.83545422,334.66759347
40,267.4058728,336.91831017
30,297.19093051,336.24691128
20,293.87866596999993,328.75609371999997
10,288.21819769999996,310.37851323999996
